fight_url,round,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/352839a03b428e74,3,Claudio Puelles Joaquim Silva,,,,3 of 8 0 of 4,,,,,0 of 3 0 of 4,,,0
http://ufcstats.com/fight-details/9474f64347aade7a,3,Tatiana Suarez Amanda Lemos,,,,0 of 0 0 of 0,,,,,6 of 9 5 of 6,,,0
http://ufcstats.com/fight-details/3dc1a6335d890650,3,Jesus Aguilar Luis Gurule,,,,12 of 47 5 of 41,,,,,30 of 67 12 of 47,,,0
http://ufcstats.com/fight-details/d822ebc7dbc6c259,1,Zach Reese Sedriques Dumas,,,,0 of 3 1 of 8,,,,,2 of 7 3 of 10,,,0
http://ufcstats.com/fight-details/a1e193425e716b42,3,Alessandro Costa Alden Coria,,,,5 of 30 14 of 49,,,,,10 of 48 20 of 57,,,0
http://ufcstats.com/fight-details/c4a6174b0698652e,3,Montse Rendon Alice Pereira,,,,6 of 28 7 of 31,,,,,10 of 39 12 of 39,,,0
http://ufcstats.com/fight-details/3dd2fde7bff79c51,1,Rodrigo Sezinando Daniil Donchenko,,,,7 of 30 29 of 55,,,,,7 of 33 23 of 44,,,0
http://ufcstats.com/fight-details/5bcd8abf6da01dae,5,Nassourdine Imavov Caio Borralho,,,,3 of 6 1 of 10,,,,,9 of 17 3 of 19,,,0
http://ufcstats.com/fight-details/d14fea43712707f0,2,Benoit Saint Denis Mauricio Ruffy,,,,2 of 12 0 of 4,,,,,4 of 14 1 of 6,,,0
http://ufcstats.com/fight-details/0149e875b31e57f8,1,Modestas Bukauskas Paul Craig,,,,18 of 30 0 of 4,,,,,10 of 17 5 of 13,,,0
http://ufcstats.com/fight-details/69b31593175f77ec,2,Bolaji Oki Mason Jones,,,,21 of 61 17 of 51,,,,,25 of 59 12 of 44,,,0
http://ufcstats.com/fight-details/a47123ae6e048f11,3,Axel Sola Rhys McKee,,,,9 of 22 6 of 38,,,,,8 of 24 5 of 35,,,0
