fight_url,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/b3253e2c2d111030,Brad Tavares Robert Bryczek,,,,42% 53%,,,,,100% 100%,,,82
http://ufcstats.com/fight-details/d56a59a4c79cf515,Andreas Gustafsson Rinat Fakhretdinov,,,,26% 54%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/a38010639e61885c,Shauna Bannon Sam Hughes,,,,33% 44%,,,,,0% 50%,,,0
http://ufcstats.com/fight-details/2eecf0c36192e40c,Johnny Walker Zhang Mingyang,,,,40% 40%,,,,,0% ---,,,39
http://ufcstats.com/fight-details/58080e8989927500,Brian Ortega Aljamain Sterling,,,,7% 61%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/5538d15c4eeac3b3,Sergei Pavlovich Waldo Cortes Acosta,,,,32% 32%,,,,,0% ---,,,6
http://ufcstats.com/fight-details/ce6bd165bef82bd7,Sumudaerji Kevin Borjas,,,,48% 23%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/1452c20d964c0a63,Taiyilake Nueraji Kiefer Crosbie,,,,71% 66%,,,,,33% 0%,,,191
http://ufcstats.com/fight-details/0b1460c666e66d39,Maheshate Gauge Young,,,,40% 58%,,,,,0% 100%,,,1
http://ufcstats.com/fight-details/1ab1ed99a4bc5494,Charles Johnson Lone'er Kavanagh,,,,56% 55%,,,,,0% ---,,,10
http://ufcstats.com/fight-details/f55749e32ce5c6f3,Rongzhu Austin Hubbard,,,,43% 30%,,,,,--- 33%,,,0
http://ufcstats.com/fight-details/130e622d4d2aee3e,Michel Pereira Kyle Daukaus,,,,50% 62%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/f0b7caa90faf47e5,Yizha Westin Wilson,,,,72% 0%,,,,,--- ---,,,6
http://ufcstats.com/fight-details/2f6065fe0804d1d8,Xiao Long SuYoung You,,,,31% 66%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,Uran Satybaldiev Diyar Nurgozhay,,,,22% 63%,,,,,--- 100%,,,70
http://ufcstats.com/fight-details/12cedec11b37ddc0,Dricus Du Plessis Khamzat Chimaev,,,,--- 50%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/9fa6a029f7f8241c,Lerone Murphy Aaron Pico,,,,50% 44%,,,,,--- 66%,,,0
http://ufcstats.com/fight-details/42585ce706c086de,Geoff Neal Carlos Prates,,,,51% 53%,,,,,0% ---,,,15
http://ufcstats.com/fight-details/9939d7073462e07e,Jared Cannonier Michael Page,,,,12% 55%,,,,,0% 0%,,,130
http://ufcstats.com/fight-details/82338ba457fbe87f,Tim Elliott Kai Asakura,,,,40% 24%,,,,,100% ---,,,49
http://ufcstats.com/fight-details/5efd13a12be06706,Baisangur Susurkaev Eric Nolan,,,,51% 36%,,,,,28% 0%,,,115
http://ufcstats.com/fight-details/5b880d10b0ed7acc,Gerald Meerschaert Michal Oleksiejczuk,,,,18% 45%,,,,,0% ---,,,0
http://ufcstats.com/fight-details/a2eafd9e1d5031b1,Jessica Andrade Loopy Godinez,,,,21% 56%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/1d8dc0fb5d47357f,Chase Hooper Alexander Hernandez,,,,24% 44%,,,,,0% ---,,,5
http://ufcstats.com/fight-details/bc63f1b2e52f603e,Edson Barboza Drakkar Klose,,,,66% 51%,,,,,--- 0%,,,86
http://ufcstats.com/fight-details/88020d22cf905792,Karine Silva Dione Barbosa,,,,33% 36%,,,,,0% 100%,,,0
http://ufcstats.com/fight-details/68c423c7119004f3,Alibi Idiris Joseph Morales,,,,66% 41%,,,,,0% 66%,,,23
http://ufcstats.com/fight-details/68fe62bac7fd8bb0,Roman Dolidze Anthony Hernandez,,,,32% 51%,,,,,--- 50%,,,45
http://ufcstats.com/fight-details/37d58369782cb86b,Steve Erceg Ode Osbourne,,,,27% 53%,,,,,20% 100%,,,66
http://ufcstats.com/fight-details/646c79a7ecd12e5f,Iasmin Lucindo Angela Hill,,,,39% 54%,,,,,33% 0%,,,46
http://ufcstats.com/fight-details/98d6771af9b0ebe5,Andre Fili Christian Rodriguez,,,,34% 45%,,,,,--- 33%,,,0
http://ufcstats.com/fight-details/ed5383b50ffcdded,Miles Johns Jean Matsumoto,,,,52% 32%,,,,,50% 0%,,,102
http://ufcstats.com/fight-details/75a84211f50c53f5,Eryk Anders Christian Leroy Duncan,,,,58% 55%,,,,,33% ---,,,78
http://ufcstats.com/fight-details/3d6571790c21527c,Julius Walker Rafael Cerqueira,,,,59% 44%,,,,,75% ---,,,211
